,BUL_storage_af,BUL_outflow_cfs,BUL_inflow_cfs,DNP_storage_af,DNP_outflow_cfs,DNP_inflow_cfs,FOL_storage_af,FOL_outflow_cfs,FOL_inflow_cfs,EXC_storage_af,EXC_outflow_cfs,EXC_inflow_cfs,MIL_storage_af,MIL_outflow_cfs,MIL_inflow_cfs,NML_storage_af,NML_outflow_cfs,NML_inflow_cfs,ORO_storage_af,ORO_outflow_cfs,ORO_inflow_cfs,SHA_storage_af,SHA_outflow_cfs,SHA_inflow_cfs,HRO_pumping_cfs,TRP_pumping_cfs,delta_outflow_cfs,CX2_CX2_km,total_inflow_cfs,delta_inflow_cfs,total_delta_pumping_cfs,total_delta_pumping_pct,total_reservoir_outflows_cfs,delta_gains_cfs,total_storage
133,654826.0,1583.0,2260.0,1592308.0,677.0,1591.0,509834.0,2693.0,3871.0,590827.0,307.0,851.0,326708.0,924.0,1205.0,1628988.0,389.0,1019.0,2287260.0,1541.0,4604.0,3391930.0,3510.0,7623.0,3017.0,3543.0,21002.0,70.34,123665.0,29535.0,6826.0,0.24946048228192538,12633.0,14397.0,10858657.0
134,654417.0,1417.0,2407.0,1595537.0,567.0,1499.0,523584.0,2653.0,3634.0,591200.0,299.0,793.0,327836.0,952.0,1319.0,1627425.0,576.0,953.0,2285052.0,1914.0,4255.0,3395374.0,3631.0,7541.0,3332.0,3470.0,18612.0,70.89,118603.0,28330.0,6269.0,0.1909126899534062,13629.0,15099.0,10854966.0
135,654380.0,1413.0,2691.0,1598772.0,684.0,1721.0,529468.0,2734.0,3397.0,591107.0,308.0,682.0,333391.0,953.0,1491.0,1624201.0,502.0,1079.0,2284587.0,1894.0,4543.0,3401276.0,3596.0,8429.0,3647.0,3444.0,20296.0,70.34,125658.0,30998.0,6542.0,0.17785805354866127,13294.0,16219.0,10846491.0
136,671471.0,1406.0,2965.0,1616107.0,956.0,1806.0,533583.0,2632.0,3336.0,591293.0,346.0,843.0,341506.0,953.0,1454.0,1621275.0,660.0,922.0,2286911.0,1619.0,4971.0,3412363.0,3649.0,8584.0,2539.0,3542.0,23436.0,70.6,130982.0,29842.0,5861.0,0.19586488841230482,12763.0,14768.99,10924999.0
137,679846.0,1422.0,2929.0,1617196.0,1080.0,1596.0,536300.0,2666.0,3316.0,591293.0,384.0,714.0,342125.0,1076.0,1496.0,1619620.0,502.0,978.0,2291098.0,1551.0,5031.0,3424721.0,3503.0,9484.0,2916.0,3460.0,20853.0,69.66,142960.0,29562.0,6526.0,0.2110335014875178,12353.0,15578.0,11129880.0
138,684284.0,1413.0,3197.0,1618284.0,1040.0,1615.0,523584.0,2392.0,4012.0,591480.0,311.0,743.0,342705.0,1135.0,1541.0,1618842.0,170.0,1158.0,2296339.0,2060.0,5026.0,3438089.0,3328.0,10000.0,3722.0,3423.0,20307.0,71.26,149037.0,27006.0,6993.0,0.2252737702068486,12329.0,15200.0,11199722.0
139,686284.0,1409.0,3063.0,1619374.0,1047.0,1730.0,520486.0,2480.0,4655.0,592039.0,343.0,846.0,339276.0,964.0,1439.0,1617090.0,494.0,1199.0,2293776.0,1332.0,5988.0,3452000.0,2808.0,10642.0,3205.0,3401.0,20316.0,72.99,142873.0,29479.0,6488.0,0.23115220483641535,11761.0,16475.0,11200104.0
140,687170.0,1410.0,3113.0,1620464.0,1007.0,1734.0,523911.0,2357.0,4721.0,592831.0,347.0,833.0,328325.0,991.0,1321.0,1615045.0,569.0,1083.0,2291214.0,1597.0,5077.0,3461955.0,3076.0,9623.0,3387.0,3395.0,24025.0,73.34,163564.0,32936.0,6229.0,0.23244117118735405,12734.0,13401.99,11199060.0
141,688287.0,1410.0,3328.0,1628109.0,1730.0,1600.0,523340.0,2485.0,3760.0,593859.0,343.0,868.0,327648.0,1028.0,1632.0,1614072.0,716.0,1199.0,2290981.0,1651.0,5015.0,3477432.0,3319.0,10460.0,3331.0,3406.0,23997.0,72.73,162244.0,34601.0,6014.0,0.2391973408839099,13045.0,13584.0,11198770.0
142,689058.0,1409.0,2856.0,1627015.0,1865.0,1846.0,524318.0,2666.0,4191.0,595496.0,307.0,849.0,326708.0,1101.0,1626.0,1612322.0,723.0,1009.0,2288771.0,1823.0,6475.0,3491703.0,3278.0,10475.0,3331.0,3401.0,23997.0,71.97,163075.0,32807.0,6834.0,0.22750393967804353,12967.0,14232.0,11196436.0
143,688557.0,1411.0,2971.0,1627015.0,1751.0,1561.0,533913.0,2768.0,3819.0,596387.0,304.0,783.0,326482.0,1141.0,1528.0,1610480.0,496.0,938.0,2282150.0,1388.0,6715.0,3506258.0,3462.0,10967.0,3331.0,3487.0,23459.0,71.2,169197.0,32463.0,6865.0,0.2359407360203919,13574.0,16793.0,11194310.0
144,688133.0,1418.0,3165.0,1623737.0,1980.0,1714.0,539290.0,2753.0,4046.0,597934.0,301.0,826.0,325769.0,1086.0,1609.0,1609025.0,634.0,1278.0,2277974.0,2040.0,6410.0,3515830.0,3209.0,10322.0,3287.0,3361.0,23997.0,71.36,166155.0,31461.0,6860.0,0.22919717747303955,15027.0,17989.0,11186791.0
145,687016.0,1627.0,2765.0,1623737.0,1980.0,2058.0,541698.0,2715.0,4345.0,598358.0,383.0,853.0,325694.0,865.0,1625.0,1607279.0,771.0,1034.0,2281105.0,2030.0,6105.0,3525912.0,2943.0,10060.0,3067.0,3458.0,27539.0,71.3,161198.0,33263.0,6425.0,0.1720830953311487,13234.0,20201.989999999998,11178021.0
146,687825.0,1818.0,3048.0,1623737.0,1980.0,2259.0,535312.0,3061.0,4237.0,599486.0,525.0,1094.0,325545.0,853.0,1716.0,1605921.0,579.0,1274.0,2272183.0,2037.0,6261.0,3532973.0,3311.0,10047.0,2883.0,3391.0,26099.0,71.89,171922.0,34667.0,6501.0,0.17484732903978825,14302.0,19622.0,11170531.0
147,689983.0,1988.0,3237.0,1623737.0,1980.0,2898.0,534571.0,3101.0,5102.0,601370.0,329.0,1320.0,326896.0,853.0,1855.0,1603982.0,575.0,1584.0,2265364.0,2026.0,6294.0,3547922.0,3315.0,10020.0,2956.0,3435.0,26021.0,71.34,175784.0,36311.0,6531.0,0.18250208971858456,14638.0,18974.989999999998,11168258.0
148,691643.0,1991.0,3284.0,1621554.0,1980.0,2695.0,532760.0,2671.0,4302.0,601796.0,407.0,1197.0,329341.0,879.0,2117.0,1601370.0,645.0,1535.0,2268368.0,2506.0,5809.0,3555777.0,3043.0,9388.0,2967.0,3497.0,27900.0,71.79,173926.0,37970.0,6681.0,0.20656077348066298,16427.0,17612.0,11163191.0
149,694386.0,1579.0,3252.0,1625922.0,1980.0,2711.0,529222.0,2883.0,4632.0,602361.0,328.0,1140.0,329228.0,858.0,1694.0,1601757.0,692.0,1630.0,2264556.0,2594.0,6363.0,3565694.0,3804.0,11985.0,3006.0,3552.0,29743.0,71.62,185236.0,37403.0,6353.0,0.17744110642449284,15486.0,16825.0,11159287.0
150,698917.0,1326.0,3450.0,1633586.0,1980.0,2405.0,526275.0,2629.0,5309.0,603353.0,438.0,1144.0,328664.0,743.0,1733.0,1600114.0,528.0,1484.0,2259701.0,1785.0,5086.0,3567220.0,3468.0,11328.0,3164.0,3691.0,34400.0,70.75,174921.0,39976.0,6436.0,0.15903499343126717,14801.0,16098.0,11153987.0
151,703159.0,1526.0,3326.0,1623737.0,1912.0,2074.0,525297.0,2975.0,5113.0,604110.0,400.0,1213.0,328589.0,639.0,1686.0,1598085.0,425.0,1229.0,2262248.0,1811.0,5712.0,3546148.0,3723.0,9794.0,2899.0,3716.0,31466.0,70.46,168736.0,37247.0,6681.0,0.163441544144629,15018.0,21631.0,11157495.0
152,707155.0,1787.0,3534.0,1628109.0,1795.0,2371.0,527416.0,2563.0,4118.0,604962.0,741.0,1327.0,330322.0,618.0,1768.0,1597022.0,434.0,1665.0,2269523.0,1410.0,5691.0,3547668.0,3721.0,10738.0,2912.0,3716.0,30911.0,71.8,177649.0,36666.0,6836.0,0.17689043683009983,14000.0,22594.0,11157283.0
153,710373.0,1998.0,3597.0,1628109.0,1345.0,2726.0,528399.0,2628.0,5379.0,606194.0,505.0,1322.0,332557.0,608.0,1592.0,1601660.0,465.0,1422.0,2296572.0,2300.0,7979.0,3542600.0,3678.0,12376.0,3024.0,3966.0,29699.0,72.3,216119.0,35730.0,6031.0,0.16879373075846626,15438.0,22366.0,11172444.0
154,709924.0,2028.0,3291.0,1631394.0,1181.0,2363.0,531361.0,2471.0,5379.0,610283.0,576.0,1191.0,336097.0,608.0,1897.0,1611061.0,626.0,1447.0,2332200.0,1334.0,7330.0,3544628.0,3439.0,15682.0,3108.0,3819.0,28743.0,72.46,207757.0,36155.0,6144.0,0.18007108068974595,15573.0,22042.0,11188335.0
155,707023.0,2006.0,3159.0,1636880.0,1181.0,2619.0,537795.0,2292.0,4765.0,620402.0,759.0,1038.0,342705.0,607.0,1816.0,1619815.0,956.0,1754.0,2362738.0,2535.0,7066.0,3550203.0,3744.0,14080.0,2737.0,4076.0,25692.0,71.77,200946.0,34588.0,5621.0,0.18927301611317043,16273.0,20360.0,11198955.0
156,712535.0,2007.0,3291.0,1635781.0,1980.0,2804.0,542695.0,2175.0,5145.0,623495.0,699.0,1076.0,344097.0,596.0,1670.0,1628890.0,711.0,1697.0,2419924.0,2451.0,7806.0,3576387.0,3847.0,15287.0,2783.0,3715.0,28771.0,72.01,210606.0,37118.0,5682.0,0.17995330220146766,17118.0,21372.0,11240847.0
157,717534.0,1742.0,3458.0,1635781.0,1980.0,2310.0,550556.0,2400.0,5261.0,625239.0,745.0,1171.0,346153.0,581.0,1754.0,1636035.0,849.0,1712.0,2480021.0,1882.0,6035.0,3595288.0,3868.0,12912.0,3183.0,3747.0,29597.0,72.76,193055.0,38992.0,6052.0,0.17819205065072108,15256.0,24321.0,11308915.0
158,719950.0,2006.0,3328.0,1632490.0,1980.0,2321.0,551394.0,2841.0,4856.0,626744.0,809.0,1110.0,342318.0,575.0,1621.0,1642606.0,627.0,1584.0,2510672.0,1813.0,6251.0,3587098.0,4034.0,11322.0,2779.0,3485.0,27966.0,72.4,193489.0,36319.0,5827.0,0.15577335616303556,14869.0,20918.0,11313868.0
159,721886.0,1841.0,3467.0,1629203.0,1980.0,2425.0,551897.0,2810.0,4474.0,627668.0,841.0,1053.0,335868.0,505.0,1869.0,1650183.0,496.0,1421.0,2510051.0,1949.0,6222.0,3574097.0,4048.0,10510.0,2767.0,3550.0,26344.0,71.79,173961.0,34587.0,6043.0,0.1681762596638133,15150.0,23284.0,11334589.0
160,724554.0,1707.0,3299.0,1627015.0,1980.0,2349.0,552400.0,3036.0,5200.0,626112.0,841.0,948.0,336326.0,652.0,1860.0,1659066.0,805.0,1479.0,2510175.0,1983.0,6878.0,3563147.0,3699.0,12034.0,2328.0,3414.0,25567.0,69.66,176802.0,32038.0,6372.0,0.14838629127910608,16704.0,18010.0,11433936.0
